Company,Ticker,Market Cap,Price
"MARTIN MARIETTA MATERIALS, INC.",MLM,22425,359.56
SEAGATE TECHNOLOGY HOLDINGS PLC,STX,22331,97.57
PPL CORPORATION,PPL,22329,29.02
KEYCORP,KEY,22322,23.00
CLOROX COMPANY (THE),CLX,22228,178.72
REGIONS FINANCIAL CORPORATION,RF,22052,22.94
HALLIBURTON COMPANY,HAL,21976,24.70
DOVER CORPORATION,DOV,21883,152.04
AMEREN CORPORATION,AEE,21865,85.56
"CITIZENS FINANCIAL GROUP, INC.",CFG,21424,50.30
EDISON INTERNATIONAL,EIX,21336,56.23
"TERADYNE, INC.",TER,21335,128.32
XYLEM INC.,XYL,21335,118.50
ENTERGY CORPORATION,ETR,21232,105.81
"CHURCH & DWIGHT COMPANY, INC.",CHD,21143,86.21
DEVON ENERGY CORPORATION,DVN,21099,31.17
"ETSY, INC.",ETSY,21066,165.74
M&T BANK CORPORATION,MTB,20974,163.01
FOX CORPORATION,FOXA,20947,36.62
"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",EXPD,20944,124.01
FIRSTENERGY CORP.,FE,20924,38.47
MGM RESORTS INTERNATIONAL,MGM,20872,42.55
FOX CORPORATION,FOX,20784,35.16
HEWLETT PACKARD ENTERPRISE COMPANY,HPE,20688,15.90
INGERSOLL RAND INC.,IR,20612,49.14
EXTRA SPACE STORAGE INC REIT,EXR,20594,153.78
"TAKE-TWO INTERACTIVE SOFTWARE, INC.",TTWO,20556,177.73
TRACTOR SUPPLY COMPANY,TSCO,20511,177.96
"QORVO, INC.",QRVO,20375,180.97
"GARTNER, INC.",IT,20059,233.04
"ESSEX PROPERTY TRUST, INC. REIT",ESS,20031,307.82
CINCINNATI FINANCIAL CORPORATION,CINF,19873,123.36
"LIVE NATION ENTERTAINMENT, INC.",LYV,19688,90.03
ALBEMARLE CORPORATION,ALB,19629,168.17
TELEDYNE TECHNOLOGIES INCORPORATED,TDY,19610,421.36
TRIMBLE INC.,TRMB,19538,77.85
WATERS CORPORATION,WAT,19515,316.28
"MID-AMERICA APARTMENT COMMUNITIES, INC. REIT",MAA,18975,163.77
"BOSTON PROPERTIES, INC. REIT",BXP,18951,120.12
"THE COOPER COMPANIES, INC.",COO,18878,384.09
CELANESE CORPORATION CELANESE CORPORATION,CE,18823,167.12
